idade,iaa,ieg,ips,ipp,ida,mat,por,ing,ipv,media_notas,min_nota,max_nota,std_notas,anos_no_programa,media_indicadores,ratio_ida_ieg,ratio_ipv_ips,genero,instituicao,target
13,9.168,5.793483709333334,7.51,7.291666667,6.666666666666667,8.5,4.5,7.0,6.936666667,6.666666666666667,4.5,8.5,2.0207259421636903,3,7.214963408600001,1.1505195287594794,0.9235343718546132,Masculino,Pública,0
18,8.334,7.535353535666666,5.635,6.875,4.5,6.5,2.0,5.0,6.73,4.5,2.0,6.5,2.29128784747792,3,6.546870707133334,0.5971057459954908,1.1941092973740242,Feminino,Pública,1
12,7.502,6.2272727275,7.51,8.333333333,7.75,6.5,9.0,,7.776666667,7.75,6.5,9.0,1.7677669529663689,3,7.3531878789,1.2443257286696907,1.0353703457595527,Feminino,Pública,0
12,6.834,6.112440191499999,7.51,8.125,7.0,4.5,9.5,,7.39,7.0,4.5,9.5,3.5355339059327378,1,6.9692880383,1.1450181535647728,0.9838902942351218,Feminino,Pública,0
9,9.002,6.85770751,6.26,8.125,8.5,8.0,9.0,,7.755,8.5,8.0,9.0,0.7071067811865476,1,7.674941502,1.239300551540796,1.238620028749401,Feminino,Pública,0
12,9.585,9.441269841333334,7.51,8.958333333,8.666666666666666,9.0,7.0,10.0,8.166666667,8.666666666666666,7.0,10.0,1.5275252316519468,2,8.673920635,0.9178583976416899,1.0872941907868459,Feminino,Privada - Programa de Apadrinhamento,0
14,8.751,9.689754689666666,7.51,8.75,8.0,8.0,7.0,9.0,8.9225,8.0,7.0,9.0,1.0,3,8.574650937933333,0.8255291002805456,1.1879243775795498,Masculino,Privada - Programa de Apadrinhamento,0
17,9.585,10.0,7.51,7.875,5.5,5.0,6.5,5.0,8.166,5.5,5.0,6.5,0.8660254037844386,1,8.152199999999999,0.5499450054994501,1.0872054320330182,Feminino,Pública,0
7,6.834,8.3333333335,7.51,7.5,9.0,10.0,8.0,,8.5,9.0,8.0,10.0,1.4142135623730951,0,8.0354666667,1.0798704155285392,1.131673545466649,Masculino,Pública,0
13,8.502,5.6428571430000005,6.26,8.125,5.25,2.0,8.5,,8.056666667,5.25,2.0,8.5,4.596194077712559,3,6.742304762000001,0.9302148986020143,1.2868018953841238,Feminino,Pública,1
14,7.083,9.148148147999999,5.635,7.291666667,4.833333333333333,3.5,7.0,4.0,7.4125,4.833333333333333,3.5,7.0,1.8929694486000912,3,6.822396296266666,0.5282823335186564,1.3152058197303051,Feminino,Privada,0
13,7.5,7.821067821,7.51,7.125,2.0,6.0,0.0,0.0,7.5,2.0,0.0,6.0,3.4641016151377544,1,6.466213564199999,0.25568686513182304,0.998535481294102,Feminino,Pública,0
8,9.002,9.4444444445,7.51,8.125,5.5,5.5,5.5,,7.085,5.5,5.5,5.5,0.0,0,7.7082888889,0.5822912868015017,0.943283184662495,Feminino,Pública,0
15,7.917,8.782407407333332,7.51,7.34375,7.166666666666667,9.5,2.0,10.0,7.875,7.166666666666667,2.0,10.0,4.481443219916251,0,7.8502148148,0.8159323977939545,1.048462255358807,Feminino,Pública,0
15,9.168,7.4947368423333325,7.51,8.020833333,9.0,10.0,9.0,8.0,8.21,9.0,8.0,10.0,1.0,3,8.276547368466666,1.200682493170132,1.0930635068566104,Feminino,Pública,0
20,,0.0,,,,,,,,,,,,1,0.0,,,Feminino,Privada *Parcerias com Bolsa 100%,0
11,9.502,8.03030303,7.51,7.65625,4.5,4.0,5.0,,6.745,4.5,4.0,5.0,0.7071067811865476,1,7.2574606059999995,0.5603075843596951,0.8980162428438291,Masculino,Pública,1
23,,0.0,,,,,,,,,,,,3,0.0,,,Masculino,Privada,0
12,8.751,6.278431372666667,8.13,6.875,4.333333333333333,7.5,3.5,2.0,5.33,4.333333333333333,2.0,7.5,2.8431203515386634,1,6.5645529412000005,0.6900837155726586,0.6555159267002829,Masculino,Pública,0
8,9.002,10.0,6.88,7.5,8.5,9.0,8.0,,8.28,8.5,8.0,9.0,0.7071067811865476,1,8.5324,0.8499150084991501,1.2033134718790872,Masculino,Pública,1
16,8.751,9.090261886999999,5.635,8.5,7.166666666666667,7.5,6.0,8.0,9.272,7.166666666666667,6.0,8.0,1.0408329997330665,2,7.982985710733334,0.7883027412195225,1.6451383960255501,Feminino,Pública,1
10,8.502,7.3320158105,2.51,6.5625,2.75,3.5,2.0,,6.16,2.75,2.0,3.5,1.0606601717798212,1,5.4508031621,0.3750162376661359,2.4532058940661097,Feminino,Pública,1
18,6.667,9.704333333,6.57,7.5,5.483333333333333,6.35,6.3,3.8,7.5,5.483333333333333,3.8,6.35,1.458023776669411,3,7.184933333266668,0.564981453515764,1.141378785572972,Masculino,Privada *Parcerias com Bolsa 100%,0
14,7.917,2.777777777666667,7.51,7.65625,4.0,4.0,,,6.9175,4.0,4.0,4.0,,0,5.8244555555333335,1.439481786614398,0.9209825589135935,Feminino,Pública,1
13,7.917,9.666666666666666,8.135,8.0,1.1666666666666667,2.0,1.5,0.0,8.0825,1.1666666666666667,0.0,2.0,1.0408329997330665,0,6.993566666666666,0.12067717132710412,0.9934242871189775,Feminino,Pública,0
9,9.502,9.25,7.51,7.5,7.5,7.5,7.5,,7.5,7.5,7.5,7.5,0.0,1,8.2524,0.8107231650632365,0.998535481294102,Feminino,Pública,1
9,9.002,9.5454545455,6.26,8.125,7.75,7.5,8.0,,7.835,7.75,7.5,8.0,0.3535533905932738,1,8.078490909100001,0.8118197141213215,1.251397540329021,Feminino,Pública,0
10,9.002,8.070175439,7.51,7.5,5.0,7.0,3.0,,6.993333333,5.0,3.0,7.0,2.8284271247461903,0,7.3151017544,0.6194884546605134,0.9310788620689655,Feminino,Pública,0
19,,0.0,,,,,,,,,,,,3,0.0,,,Feminino,Privada *Parcerias com Bolsa 100%,0
9,9.502,8.8804347825,7.51,7.5,6.75,6.0,7.5,,7.5,6.75,6.0,7.5,1.0606601717798212,0,8.0284869565,0.7600123364414291,0.998535481294102,Feminino,Pública,1
11,9.002,9.7727272725,5.005,7.5,6.0,6.0,6.0,,8.166666667,6.0,6.0,6.0,0.0,0,7.5892787879,0.6138906716664781,1.6313756825809027,Feminino,Pública,1
11,9.502,9.7368421055,7.51,7.916666667,5.25,6.5,4.0,,7.75,5.25,4.0,6.5,1.7677669529663689,0,7.949768421099999,0.5391338186757788,1.0318199973372386,Feminino,Pública,1
12,6.249,4.600414078666667,7.5,6.5625,5.0,5.0,4.0,6.0,5.824,5.0,4.0,6.0,1.0,1,5.834682815733333,1.0866224848533583,0.7764298093587522,Feminino,Pública,0
9,9.002,9.318181818,8.13,8.125,8.5,8.0,9.0,,8.563333333,8.5,8.0,9.0,0.7071067811865476,1,8.702703030200002,0.9120972383629484,1.053170991636945,Feminino,Pública,0
9,8.418,6.6501976285,7.51,7.5,7.25,6.5,8.0,,7.5,7.25,6.5,8.0,1.0606601717798212,0,7.4656395257,1.090029255623704,0.998535481294102,Masculino,Pública,0
9,10.002,9.246031746,7.51,5.625,10.0,10.0,10.0,,6.0,10.0,10.0,10.0,0.0,0,8.5516063492,1.0814281030586612,0.7988283850352815,Masculino,Pública,1
9,8.002,8.4166666665,7.51,6.875,8.75,9.5,8.0,,6.99,8.75,8.0,9.5,1.0606601717798212,0,7.9337333333,1.0394804577879755,0.930635068566103,Masculino,Pública,1
9,10.002,9.7727272725,7.505,7.8125,5.0,6.0,4.0,,7.946666667,5.0,4.0,6.0,1.4142135623730951,1,8.0452787879,0.5115755597220651,1.0587085887290166,Feminino,Pública,0
11,7.918,7.8214285715,7.51,6.041666667,4.0,2.0,6.0,,5.66,4.0,2.0,6.0,2.8284271247461903,1,6.5818857143,0.511350147008498,0.7535614432166157,Feminino,Pública,0
11,9.502,9.511904762,7.51,7.5,7.75,5.5,10.0,,7.946666667,7.75,5.5,10.0,3.181980515339464,0,8.444114285800001,0.8146828118113772,1.0580038166688857,Masculino,Pública,0
14,8.751,7.361111111,7.51,8.541666667,7.666666666666667,6.0,8.0,9.0,7.613333333,7.666666666666667,6.0,9.0,1.5275252316519465,3,7.780422222133334,1.0413679651223438,1.0136244618559447,Masculino,Pública,0
14,7.917,8.715873016,7.51,7.8125,4.0,3.0,6.0,3.0,7.3725,4.0,3.0,6.0,1.7320508075688772,2,7.1030746032,0.45888015033119306,0.9815603781121022,Masculino,Pública,0
13,9.168,6.363636363666667,2.51,8.28125,6.0,6.0,4.5,7.5,7.2475,6.0,4.5,7.5,1.5,3,6.2578272727333335,0.942709002866489,2.886300278773397,Feminino,Pública,0
7,9.002,7.9813664595,2.51,7.1875,10.0,10.0,10.0,,7.273333333,10.0,10.0,10.0,0.0,0,7.353339958500001,1.2527613272000018,2.8965883444842695,Feminino,Pública,0
15,8.334,10.0,10.0,8.625,6.0,2.0,6.0,10.0,8.706,6.0,2.0,10.0,4.0,1,8.608,0.5999400059994001,0.8705129487051295,Feminino,Pública,1
8,10.002,9.3333333335,7.51,8.4375,9.5,10.0,9.0,,7.915,9.5,9.0,10.0,0.7071067811865476,0,8.8520666667,1.0177480983998546,1.053787777925709,Feminino,Pública,0
19,,0.0,,,,,,,,,,,,3,0.0,,,Feminino,Privada *Parcerias com Bolsa 100%,0
15,8.751,9.702380952333334,5.635,8.75,8.5,8.0,8.5,9.0,9.074,8.5,8.0,9.0,0.5,3,8.332476190466666,0.875983334237335,1.6100070972320795,Feminino,Privada - Programa de Apadrinhamento,1
14,8.334,3.9841269843333333,7.51,7.083333333,2.5,3.5,2.5,1.5,5.886666667,2.5,1.5,3.5,1.0,3,5.642958730266666,0.62733258182944,0.7837394044734389,Masculino,Pública,0
9,8.502,9.761904762,7.51,7.8125,7.5,8.0,7.0,,7.5,7.5,7.0,8.0,0.7071067811865476,0,8.1547809524,0.7682139878278985,0.998535481294102,Feminino,Pública,1
14,9.168,8.973112128333334,6.26,8.875,9.333333333333334,10.0,9.0,9.0,8.704,9.333333333333334,9.0,10.0,0.5773502691896257,2,8.487689092333333,1.0400286067148479,1.3901932598626419,Feminino,Privada,0
16,7.5,6.349206349,7.51,6.75,4.333333333333333,1.0,7.0,5.0,5.764,4.333333333333333,1.0,7.0,3.0550504633038935,3,6.291307936466666,0.6823925231997737,0.7674078018905606,Feminino,Pública,1
14,7.5,7.84502924,7.51,5.46875,2.3333333333333335,3.0,2.0,2.0,5.125,2.3333333333333335,2.0,3.0,0.5773502691896258,1,6.062672514666667,0.2973903438235636,0.682332578884303,Masculino,Pública,0
8,10.002,8.365800865499999,7.51,6.875,8.25,6.5,10.0,,6.79,8.25,6.5,10.0,2.4748737341529163,1,8.1835601731,0.9860399611060878,0.9040074557315937,Masculino,Pública,0
15,9.168,5.818518518666667,7.51,7.1875,3.0,4.0,3.0,2.0,6.8725,3.0,2.0,4.0,1.0,3,6.473803703733334,0.515506564740229,0.9149913460258288,Masculino,Pública,1
12,9.168,5.5110047846666665,8.755,7.8125,6.166666666666667,5.5,6.0,7.0,7.295,6.166666666666667,5.5,7.0,0.7637626158259734,2,7.379134290266667,1.1187701947975703,0.8331429876656007,Feminino,Privada,0
14,9.168,7.698412698333333,7.51,7.125,5.166666666666667,4.0,6.5,5.0,7.634,5.166666666666667,4.0,6.5,1.2583057392117916,3,7.435415872999999,0.6710468537145798,1.0163759818932232,Feminino,Pública,0
7,9.502,7.5,3.755,7.5,5.0,10.0,0.0,,8.42,5.0,0.0,10.0,7.0710678118654755,0,6.8354,0.6665777896280496,2.2417465388711397,Feminino,Pública,0
13,4.584,4.707017544,2.51,6.875,3.3333333333333335,4.0,6.0,0.0,6.1175,3.3333333333333335,0.0,6.0,3.0550504633038935,3,4.250370175466666,0.7080120883537075,2.4362803663878934,Feminino,Pública,0
15,8.334,7.554824561666667,6.88,8.125,7.166666666666667,5.0,9.0,7.5,8.206,7.166666666666667,5.0,9.0,2.0207259421636903,2,7.6282982456666675,0.9484956417630004,1.1925592210434528,Masculino,Privada,1
14,9.168,8.33064949,8.135,8.125,8.666666666666666,10.0,6.0,10.0,8.67,8.666666666666666,6.0,10.0,2.3094010767585034,0,8.594063231333333,1.0402101861184592,1.0656342182890857,Feminino,Pública,1
8,8.502,7.0018115945,7.51,5.625,5.0,0.0,10.0,,6.42,5.0,0.0,10.0,7.0710678118654755,0,6.8867623189,0.7139989320756528,0.8547463719877513,Masculino,Pública,0
18,8.751,7.8961292116666675,8.13,8.75,7.0,5.0,6.0,10.0,7.946666667,7.0,5.0,10.0,2.6457513110645907,3,7.944759175733334,0.88639805838034,0.9773295618005164,Feminino,Privada - Programa de Apadrinhamento,0
13,8.502,10.0,7.51,8.125,6.5,6.0,7.0,,7.053333333,6.5,6.0,7.0,0.7071067811865476,0,7.9130666666,0.6499350064993501,0.9390671459193184,Feminino,Pública,1
10,7.002,9.4444444445,7.51,5.9375,7.75,9.0,6.5,,6.166666667,7.75,6.5,9.0,1.7677669529663689,0,7.5746222223,0.8205013586748433,0.8210180624417521,Feminino,Pública,1
10,8.002,4.722222222,7.51,6.875,6.0,6.0,6.0,,5.66,6.0,6.0,6.0,0.0,0,6.3788444444,1.2703192265765046,0.7535614432166157,Masculino,Pública,1
9,10.002,10.0,5.625,9.375,9.0,10.0,8.0,,7.75,9.0,8.0,10.0,1.4142135623730951,0,8.4754,0.8999100089991001,1.3775328830430145,Masculino,Pública,1
18,,0.0,,,,,,,,,,,,1,0.0,,,Feminino,Privada *Parcerias com Bolsa 100%,0
13,9.002,7.7432712215,5.625,7.5,5.0,5.0,5.0,,7.386666667,5.0,5.0,5.0,0.0,0,6.951387577700001,0.6456385445435809,1.3129517715961607,Masculino,Pública,1
17,8.334,5.148148148,7.51,7.8125,2.5,7.5,0.0,0.0,7.132,2.5,0.0,7.5,4.330127018922194,0,6.124829629599999,0.48551720170860385,0.9495406736786046,Feminino,Pública,1
15,8.751,9.824561403666666,6.26,7.65625,7.333333333333333,9.5,5.5,7.0,8.125,7.333333333333333,5.5,9.5,2.0207259421636903,1,8.0587789474,0.7463526033837321,1.297716019805143,Feminino,Pública,0
11,9.502,8.8152173915,6.26,9.0625,9.25,9.0,9.5,,8.84,9.25,9.0,9.5,0.3535533905932738,1,8.5334434783,1.0492028031112555,1.4119150295479954,Feminino,Pública,0
